World.
Waited 5 game minutes. target reached.
R032 Establishment Ally 1 · friendly · offset -1, 0
6:08:04 AM: You hear R032 Establishment Ally 1 saying "Allow me to pass, chum."
6:08:05 AM: You hear R032 Establishment Ally 1 saying "Hey, fella, can I get through?"
6:08:06 AM: You hear R032 Establishment Ally 1 saying "I need to get by."
6:08:07 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, my fellow wanderer."
6:08:08 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:08:09 AM: You hear R032 Establishment Ally 1 saying "Coming through, make way."
6:08:10 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:08:11 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:08:12 AM: You hear R032 Establishment Ally 1 saying "Pardon me."
6:08:13 AM: You hear R032 Establishment Ally 1 saying "Move your fricking ass, toilet licker!"
6:08:14 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:08:15 AM: You hear R032 Establishment Ally 1 saying "Make a path, adventurer."
6:08:16 AM: You hear R032 Establishment Ally 1 saying "Gotta get past you, bud."
6:08:17 AM: You hear R032 Establishment Ally 1 saying "I need to get by."
6:08:18 AM: You hear R032 Establishment Ally 1 saying "Let me get by, bruv."
6:08:19 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:08:20 AM: You hear R032 Establishment Ally 1 saying "Out of my mafuckin' way!"
6:08:21 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, homie?"
6:08:22 AM: You hear R032 Establishment Ally 1 saying "Pardon me."
6:08:23 AM: You hear R032 Establishment Ally 1 saying "I need to get by."
6:08:24 AM: You hear R032 Establishment Ally 1 saying "Scoot over, accomplice."
6:08:25 AM: You hear R032 Establishment Ally 1 saying "Move over a bit, my brother-in-arms."
6:08:26 AM: You hear R032 Establishment Ally 1 saying "Out of my way, useless!"
6:08:27 AM: You hear R032 Establishment Ally 1 saying "Step aside, my dude!"
6:08:28 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, my dude."
6:08:29 AM: You hear R032 Establishment Ally 1 saying "Excuse me, partner."
6:08:30 AM: You hear R032 Establishment Ally 1 saying "Make a path, my good fellow."
6:08:31 AM: You hear R032 Establishment Ally 1 saying "Out of the way, fella."
6:08:32 AM: You hear R032 Establishment Ally 1 saying "I need to get past you, bruv."
6:08:33 AM: You hear R032 Establishment Ally 1 saying "Out of my moronic way!"
6:08:34 AM: You hear R032 Establishment Ally 1 saying "Let me get past you, loyal friend."
6:08:35 AM: You hear R032 Establishment Ally 1 saying "Out of the way, chum."
6:08:36 AM: You hear R032 Establishment Ally 1 saying "Out of the way, pal."
6:08:37 AM: You hear R032 Establishment Ally 1 saying "Gotta get past you, my fellow nomad."
6:08:38 AM: You hear R032 Establishment Ally 1 saying "Out of my way, dick!"
6:08:39 AM: You hear R032 Establishment Ally 1 saying "Out of my wicked way!"
6:08:40 AM: You hear R032 Establishment Ally 1 saying "I'm coming through, my brother-in-arms."
6:08:41 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:08:42 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, comrade?"
6:08:43 AM: You hear R032 Establishment Ally 1 saying "Let me get by, pal."
6:08:44 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:08:45 AM: You hear R032 Establishment Ally 1 saying "Pardon me."
6:08:46 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:08:47 AM: You hear R032 Establishment Ally 1 saying "I need to get past you, fellow traveler."
6:08:48 AM: You hear R032 Establishment Ally 1 saying "Out of the way, fella."
6:08:49 AM: You hear R032 Establishment Ally 1 saying "Step aside, homie!"
6:08:50 AM: You hear R032 Establishment Ally 1 saying "Excuse me, lad."
6:08:51 AM: You hear R032 Establishment Ally 1 saying "Coming through, make way."
6:08:52 AM: You hear R032 Establishment Ally 1 saying "In the way here fella."
6:08:53 AM: You hear R032 Establishment Ally 1 saying "Out of the way, friend."
6:08:54 AM: You hear R032 Establishment Ally 1 saying "Let me get past you, trusty companion."
6:08:55 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:08:56 AM: You hear R032 Establishment Ally 1 saying "Make some room, friend."
6:08:57 AM: You hear R032 Establishment Ally 1 saying "Scoot over, bud."
6:08:58 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:08:59 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, mate?"
6:09:00 AM: You hear R032 Establishment Ally 1 saying "Let me get by, accomplice."
6:09:01 AM: You hear R032 Establishment Ally 1 saying "I need to get by."
6:09:02 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:09:03 AM: You hear R032 Establishment Ally 1 saying "Move your goddamn ass, cuck!"
6:09:04 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:09:05 AM: You hear R032 Establishment Ally 1 saying "Hey, my fellow wanderer, can I get through?"
6:09:06 AM: You hear R032 Establishment Ally 1 saying "Move over a bit, bud."
6:09:07 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:09:08 AM: You hear R032 Establishment Ally 1 saying "I need to get past you, pal."
6:09:09 AM: You hear R032 Establishment Ally 1 saying "Excuse me, let me pass."
6:09:10 AM: You hear R032 Establishment Ally 1 saying "Move your fuckin' ass, asswagon!"
6:09:11 AM: You hear R032 Establishment Ally 1 saying "Allow me to pass, dawg."
6:09:12 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, comrade."
6:09:13 AM: You hear R032 Establishment Ally 1 saying "Step aside, chum!"
6:09:14 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:09:15 AM: You hear R032 Establishment Ally 1 saying "Excuse me, let me pass."
6:09:16 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:09:17 AM: You hear R032 Establishment Ally 1 saying "I'm coming through, fella."
6:09:18 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:09:19 AM: You hear R032 Establishment Ally 1 saying "Clear the path, pal!"
6:09:20 AM: You hear R032 Establishment Ally 1 saying "Let me get by, my fellow nomad."
6:09:21 AM: You hear R032 Establishment Ally 1 saying "Coming through, make way."
6:09:22 AM: You hear R032 Establishment Ally 1 saying "Allow me to pass, dawg."
6:09:23 AM: You hear R032 Establishment Ally 1 saying "Make a path, fellow traveler."
6:09:24 AM: You hear R032 Establishment Ally 1 saying "Make a path, amigo."
6:09:25 AM: You hear R032 Establishment Ally 1 saying "Make way, fellow survivor."
6:09:26 AM: You hear R032 Establishment Ally 1 saying "Let me slide by, homie."
6:09:27 AM: You hear R032 Establishment Ally 1 saying "Move it, bud!"
6:09:28 AM: You hear R032 Establishment Ally 1 saying "I'm coming through, my brother-in-arms."
6:09:29 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:09:30 AM: You hear R032 Establishment Ally 1 saying "I need some space here."
6:09:31 AM: You hear R032 Establishment Ally 1 saying "Scoot over, dawg."
6:09:32 AM: You hear R032 Establishment Ally 1 saying "In the way here homie."
6:09:33 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:09:34 AM: You hear R032 Establishment Ally 1 saying "Please let me through."
6:09:35 AM: You hear R032 Establishment Ally 1 saying "Out of my moronic way!"
6:09:36 AM: You hear R032 Establishment Ally 1 saying "Gotta get past you, fellow traveler."
6:09:37 AM: You hear R032 Establishment Ally 1 saying "Move over a bit, adventurer."
6:09:38 AM: You hear R032 Establishment Ally 1 saying "Move your moronic ass, twerp!"
6:09:39 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:09:40 AM: You hear R032 Establishment Ally 1 saying "In the way here adventurer."
6:09:41 AM: You hear R032 Establishment Ally 1 saying "Pardon me."
6:09:42 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:09:43 AM: You hear R032 Establishment Ally 1 saying "Hey, loyal friend, can I get through?"
6:09:45 AM: You hear R032 Establishment Ally 1 saying "Excuse me, let me pass." x 2
6:09:46 AM: You hear R032 Establishment Ally 1 saying "Let me slide by, homie."
6:09:47 AM: You hear R032 Establishment Ally 1 saying "Step aside, partner!"
6:09:48 AM: You hear R032 Establishment Ally 1 saying "I need to get by."
6:09:49 AM: You hear R032 Establishment Ally 1 saying "Make way, trusty companion."
6:09:50 AM: You hear R032 Establishment Ally 1 saying "Hey, chum, can I get through?"
6:09:51 AM: You hear R032 Establishment Ally 1 saying "Out of my way, frigger!"
6:09:52 AM: You hear R032 Establishment Ally 1 saying "Excuse me, loyal friend."
6:09:53 AM: You hear R032 Establishment Ally 1 saying "Out of my way, blockhead!"
6:09:54 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:09:55 AM: You hear R032 Establishment Ally 1 saying "Move aside, pal."
6:09:56 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:09:57 AM: You hear R032 Establishment Ally 1 saying "Gotta get past you, my brother-in-arms."
6:09:58 AM: You hear R032 Establishment Ally 1 saying "Let me get by, pal."
6:09:59 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:10:00 AM: You hear R032 Establishment Ally 1 saying "Pardon me."
6:10:18 AM: You finish waiting.
Game time: 7570 minutes.
